年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型
H21,12,9～10,道路の防雪柵設置工事現場において、被災者は、荷つり作業をしていた車両積載形トラッククレーンの後ろ側に立ち、交通誘導を行っていたところ、市街地から走行して来た乗用車にはねられた。その後、乗用車は車両積載形トラッククレーンに追突し、被災者は、乗用車と車両積載形トラッククレーンにはさまれた。なお、現場には注意喚起のカラーコーンと看板が置かれていた。事故時の天候は晴れ、路面は乾いていた。,建設業,その他の建設業,機械器具設置工事業,30～49,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,崩壊、倒壊
H21,12,17～18,運転手はトレーラーをフェリーターミナルのトレーラー待機場所に後進で駐車し、車から降りてトレーラーの足を下ろそうとしたところ、左後方のタイヤ付近に被災者がトレーラーヘッド側に頭を向けてうつ伏せで倒れているのを発見した。被災者を病院へ搬送したが死亡した。被災者はフェリーに乗せるトレーラーの到着確認、保冷車の車内温度確認の業務を行っていた。,貨物取扱業,港湾運送業,港湾荷役業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ、巻き込まれ
H21,3,17～18,被災者が営業業務のため、乗用車を運転して県道を走行していたところ、トンネル入口のコンクリート部分に衝突して車両が炎上した。,商業,小売業,自動車小売業,50～99,物上げ装置、運搬機械,乗物,乗用車、バス、バイク,交通事故（道路）
H21,4,14～15,倉庫において、被災者と同僚作業者1人が簡易リフトを使って段ボールに入った荷物を1階から2階に上げようとしたところ、簡易リフトに搭乗していた被災者が1階天井下の木枠と簡易リフトの搬器の上部との間にはさまれた。,接客娯楽業,旅館業,旅館業,30～49,物上げ装置、運搬機械,動力クレーン等,エレベータ、リフト,はさまれ、巻き込まれ
H21,6,10～11,道路維持修繕工事において、交通整理作業中、道路を走行してきた最大積載量2tのトラックに衝突された。,その他の事業,その他の事業,警備業,30～49,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H21,7,16～17,建設工事現場で使用する資材等を最大積載量2tの貨物自動車で運搬作業中、幅員3.4mの未舗装道路を走行していたところ、下り左カーブで右側路肩から逸脱して斜面を転落し、当該道路下方約20m付近で車外に投げ出された。,建設業,土木工事業,砂防工事業,1～9,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H21,9,16～17,建設工事で使用した敷鉄板（1.5m×6.0m×厚さ2cm、重量約1.7t）を積載形トラッククレーン（つり上げ荷重2.93t）で運搬するため、作業者が敷鉄板に玉掛けし、当該クレーンでつり上げ、荷台に載せる作業を行っていた。その補助作業を行っていた被災者が、荷台後部付近の地面に立って敷鉄板を押さえていたところ、敷鉄板の穴から玉掛用具（フック付きワイヤロープ）のフックが外れ、敷鉄板が倒れて下敷きとなった。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,その他の装置等,用具,玉掛用具,飛来、落下
H21,9,17～18,被災者は、パッケージセンターでの作業が終了し帰宅するため、自家用車を駐車している同構内の駐車場へ向かって歩いていたところ、駐車場を横切ろうと車道から右折してきたトラックに接触し右後輪に巻き込まれた。,商業,卸売業,その他の卸売業,100～299,物上げ装置、運搬機械,動力運搬機,トラック,激突され
H21,9,15～16,生コン供給トロッコに取り付けられているバケットから、その下方にある投入バケットに生コンを自動投入する作業において、当該投入バケットの縁に足を掛け、その上方にある生コン供給トロッコのバケットに付着している生コンをスコップでかき出していたところ、所定の位置に戻ろうと回転した当該供給トロッコのバケットにはさまれた。,製造業,土石製品製造業,その他の土石製品製造業,30～49,物上げ装置、運搬機械,動力運搬機,その他の動力運搬機,はさまれ、巻き込まれ
H21,10,4～5,漁船（19t）がいか釣り漁のため漁港を出港する際、被災者が船上で係留ロープを外す作業を行っていたところ、海に転落し死亡した。,畜産・水産業,水産業,漁業,1～9,環境等,環境等,水,おぼれ
H21,10,8～9,林道新設工事現場において、被災者が玉石を入れる籠に敷くシートを切断する作業を幅5mの道路脇で行っていたところ、後進してきた不整地運搬車の右クローラにひかれた。,建設業,その他の建設業,その他の建設業-その他,10～29,物上げ装置、運搬機械,動力運搬機,不整地運搬車,はさまれ、巻き込まれ
H21,11,9～10,被災者が建設中の護岸と掘削した地山（高さ約3.4m）の間で、護岸の型枠の解体作業を行っていたところ、地山に埋設されていた古い護岸（幅約3m、高さ約1m、厚さ約50cm）が土砂とともに倒壊し、その下敷きとなった。,建設業,建築工事業,木造家屋建築工事業,10～29,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,崩壊、倒壊
H21,11,8～9,住宅屋根補修工事現場で使用する資材を購入するため、被災者が社有車で市内のホームセンターに向かう途中、警報器及び遮断機がない踏切を通過しようとしたところ普通列車と衝突した。なお、助手席には当該住宅の修理依頼主が乗車していた。,建設業,建築工事業,その他の建築工事業,1～9,物上げ装置、運搬機械,乗物,鉄道車両,交通事故（その他）
H21,11,2～3,高速道を7tトラックで走行中、右斜め前方の追越車線を走行していた4tトラックが前方の10tトラックに追突し、走行車線を走行していた被災者の7tトラックの直前に横向きで飛び出し激突した。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,交通事故（道路）
H21,11,7～8,事業場敷地内において、被災者は事業場を出発する前に貨物自動車（2tトラック）を事務所の前に停め、運転席から降りて、事務所脇にある自動販売機で缶コーヒーを購入していたところ、傾斜により貨物自動車が動き出したので、貨物自動車の前方に出て止めようとしたが止められず、倒れて地面と車体との間にはさまれた。,運輸交通業,道路貨物運送業,一般貨物自動車運送業,10～29,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ、巻き込まれ
